Symbol,Company,Industry,Index,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,01-07-2002,-0.012186694284649253,-0.012522167214092186,-0.0119196793067266,-0.012172998860478401,1080397,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,02-07-2002,-0.01238523346832956,-0.01242631867674708,-0.012118228069433176,-0.012268846854567528,1016147,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,03-07-2002,-0.01225515249507037,-0.012392085440411737,-0.012193536929518842,-0.012268846854567528,980394,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,04-07-2002,-0.012323618540977048,-0.012522167044994256,-0.012323618540977048,-0.01233731396496296,972747,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,05-07-2002,-0.01240578015281001,-0.01240578015281001,-0.012262003763343056,-0.012309922836720943,974496,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,08-07-2002,-0.012460554630000112,-0.012994575083257694,-0.012193538546073924,-0.012850798666477203,1061686,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,09-07-2002,-0.012802866541456175,-0.012871334069674846,-0.012433160419429382,-0.012515322305262089,1024719,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,10-07-2002,-0.012597475997993955,-0.012597475997993955,-0.012392084057641705,-0.012501627206802368,946638,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,11-07-2002,-0.012946644097599701,-0.012946644097599701,-0.012262002888237089,-0.012296236120164394,968220,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,12-07-2002,-0.01243316079857098,-0.012535861561549346,-0.012323617648909883,-0.012392084114253521,967763,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,15-07-2002,-0.012255150973267653,-0.0123167739859082,-0.012090835719114205,-0.01213876437395811,974157,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,16-07-2002,-0.012186693900484977,-0.012337313742652347,-0.012186693900484977,-0.012248308397829533,959138,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,17-07-2002,-0.012255147828650018,-0.012255147828650018,-0.012118223455149827,-0.012152456678450108,955902,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,18-07-2002,-0.012481089182794525,-0.012481089182794525,-0.012193535359419598,-0.012296236120164394,958081,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,19-07-2002,-0.012392084787979202,-0.012392084787979202,-0.012125069818473729,-0.012248308397829533,1022018,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,22-07-2002,-0.012049758440109632,-0.012303079020202718,-0.011878600807847955,-0.011960754171013832,959229,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,23-07-2002,-0.011638967130134998,-0.012179840455751207,-0.011638967130134998,-0.011960754171013832,950108,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,24-07-2002,-0.011844367536240881,-0.012001829745871821,-0.011645819060504436,-0.011645819060504436,1004507,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,25-07-2002,-0.01198129378568826,-0.012166146867902206,-0.011570510933484487,-0.011755364015698433,929688,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,26-07-2002,-0.01146780923042851,-0.01146780923042851,-0.011310337439256581,-0.011392499320209026,934529,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,29-07-2002,-0.011570510178181479,-0.011570510178181479,-0.010974865762942421,-0.011111798696219921,955236,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,30-07-2002,-0.011570508621204935,-0.011570508621204935,-0.010954325413853399,-0.010988558642566204,972108,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,31-07-2002,-0.011159721101056112,-0.011159721101056112,-0.010680470646668796,-0.01088586263358593,961513,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,01-08-2002,-0.010954325967598709,-0.011262417586848626,-0.010954325967598709,-0.011015940457582474,953331,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,02-08-2002,-0.010954326953214895,-0.010954326953214895,-0.010728397196626556,-0.010906398296356201,939461,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,05-08-2002,-0.011502046049079341,-0.011502046049079341,-0.010694166072705695,-0.01088586263358593,982116,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,06-08-2002,-0.010954326121736266,-0.010954326121736266,-0.010687311180372657,-0.010735239833593369,971195,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,07-08-2002,-0.011091250708496809,-0.011091250708496809,-0.010851626607776053,-0.010933788493275642,966576,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,08-08-2002,-0.011159717423499254,-0.011159717423499254,-0.010714700356038732,-0.01076947245746851,971443,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,09-08-2002,-0.0108173921255669,-0.010920091808159949,-0.010748934190206852,-0.010851625353097916,918884,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,12-08-2002,-0.010892710556134135,-0.010947481590284337,-0.010817392130716306,-0.010899554006755352,489590,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,13-08-2002,-0.010913249998283137,-0.010947483230960913,-0.010817393751896642,-0.010858478955924511,384772,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,14-08-2002,-0.010926937906399361,-0.010926937906399361,-0.010632540598001483,-0.010748936794698238,482452,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,15-08-2002,-0.010748936794698238,-0.010748936794698238,-0.010748936794698238,-0.010748936794698238,0,0.0,0.0
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500,16-08-2002,-0.01072154540705932,-0.010817394202699853,-0.010516154522136487,-0.01057776901870966,520671,0.0,0.0
