Symbol,Company,Industry,Index,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,27-11-1998,2.351122176590759,2.351122176590759,1.7948003588258876,2.251779079437256,21000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,30-11-1998,2.1524351449480963,2.1855495002131113,2.0530919212513496,2.125943660736084,132000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,01-12-1998,2.178926470852707,2.291515428475438,2.1325663768499252,2.2451553344726562,123500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,02-12-1998,2.2252865648554887,2.278269687331786,2.198795082568185,2.2451553344726562,75500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,03-12-1998,2.278269687331786,2.311384040190916,2.2319094354273146,2.2451553344726562,102000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,04-12-1998,2.212040823711837,2.2584010756163084,2.185549341424533,2.2451553344726562,71000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,07-12-1998,2.238532781600952,2.2782700106715494,2.2186640091639416,2.238532781600952,26000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,08-12-1998,2.238532376911057,2.2517781175399776,2.1391891642924734,2.1458120346069336,32500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,09-12-1998,2.1789263861792336,2.2120407377515336,2.1391891642924734,2.1458120346069336,15000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,10-12-1998,2.1458123546548458,2.1656809685616296,2.112697998143539,2.119320869445801,36000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,11-12-1998,2.132566452284069,2.1458121938962558,2.0663375863214415,2.0928292274475098,37500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,14-12-1998,2.1590582613090805,2.1590582613090805,2.0928295432542727,2.1060752868652344,18500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,15-12-1998,2.1193210336528447,2.1193210336528447,2.0862066745758057,2.0862066745758057,8500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,16-12-1998,2.079583007603988,2.092828746170118,2.053091372570069,2.072960138320923,43000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,17-12-1998,2.0067318265602685,2.0663376661168975,2.0067318265602685,2.039846181869507,14000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,18-12-1998,2.0266004827144,2.066337709928007,1.9802403842985257,1.9868632555007935,72500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,21-12-1998,2.0862069306008233,2.0928298032290082,2.0199780464172363,2.0199780464172363,35500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,22-12-1998,2.03322347087217,2.03322347087217,1.9868633697895604,2.0266005992889404,22000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,23-12-1998,2.013354539871216,2.033223151500008,1.9868630576994928,2.013354539871216,20000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,24-12-1998,1.9338802858826512,2.0266004827144,1.9338802858826512,1.9868632555007935,29000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,25-12-1998,1.9868632555007935,1.9868632555007935,1.9868632555007935,1.9868632555007935,0,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,28-12-1998,1.9868632555007935,2.033223353916668,1.9868632555007935,1.9868632555007935,11000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,29-12-1998,1.9934865559044972,2.0530924095581606,1.9868636832763125,2.0199780464172363,24000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,30-12-1998,2.0729606150019366,2.3444984759498806,2.0729606150019366,2.2584011554718018,47000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,31-12-1998,2.2517781175399776,2.2517781175399776,2.1259434236635535,2.1458120346069336,48500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,01-01-1999,2.198795240553364,2.212040982648733,2.1391894011242036,2.1656808853149414,337500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,04-01-1999,2.2517782846657957,2.3444984759498806,2.2517782846657957,2.2584011554718018,50000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,05-01-1999,2.225286810281981,2.225286810281981,2.099452255539017,2.119320869445801,44000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,06-01-1999,2.1656809685616296,2.1656809685616296,2.086206512934494,2.119320869445801,47000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,07-01-1999,2.119320633977989,2.3577441322709816,2.119320633977989,2.2186636924743652,104000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,08-01-1999,2.2782697678898196,2.3511213467558862,2.2517782846657957,2.2584011554718018,220000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,11-01-1999,2.3842358633675413,2.4173503775573537,2.2584013094727373,2.32463002204895,172500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,12-01-1999,2.284892958354631,2.3842360343429174,2.2319098265924944,2.2716472148895264,47500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,13-01-1999,2.2584015516314797,2.2981387834380604,2.251778679663716,2.265024423599243,25500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,14-01-1999,2.2252869606018066,2.2517786055020896,2.185549730103959,2.2252869606018066,9000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,15-01-1999,2.2517777763304125,2.2517777763304125,2.0729601470343595,2.1126973628997803,31000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,18-01-1999,2.1126979949782863,2.159058094024658,2.086206509808931,2.159058094024658,9000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,19-01-1999,2.21866361079888,2.21866361079888,2.1524349075727014,2.185549259185791,7500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,20-01-1999,2.185549259185791,2.185549259185791,2.185549259185791,2.185549259185791,0,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,21-01-1999,2.053092299169818,2.159058413425048,1.9471263428163184,2.152435541152954,10500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,22-01-1999,2.1855495791940136,2.2385327074344312,2.132566608855303,2.159058094024658,4500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,25-01-1999,2.1524352227323194,2.159058094024658,2.033223381568513,2.159058094024658,15500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,26-01-1999,2.159058094024658,2.159058094024658,2.159058094024658,2.159058094024658,0,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,27-01-1999,2.119320869445801,2.119320869445801,2.0663377411260035,2.119320869445801,5000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,28-01-1999,2.1193207106718828,2.1723036771206288,2.0928292274475098,2.0928292274475098,8500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,29-01-1999,2.1193209619541697,2.145812448319568,2.000109115408162,2.0067319869995117,37000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,01-02-1999,2.0530920028686523,2.066337745501221,2.0530920028686523,2.0530920028686523,7500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,02-02-1999,2.1193202322106837,2.1193202322106837,2.000108426712762,2.1126973628997803,34500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,03-02-1999,2.145812112624578,2.152434983179833,2.086206277627283,2.099452018737793,60500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,04-02-1999,2.1193208739332037,2.1193208739332037,2.0530920028686523,2.0530920028686523,30000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,05-02-1999,2.106075131300635,2.1193208739332037,2.0001090323383774,2.0530920028686523,27500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,08-02-1999,2.053091372570069,2.079583007603988,2.053091372570069,2.072960138320923,9500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,09-02-1999,1.9868633697895604,2.05309208562186,1.9868633697895604,2.0266005992889404,9000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,10-02-1999,2.11269767150515,2.1193205417834675,1.9868629783154352,2.0001087188720703,13000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,11-02-1999,2.05309208562186,2.05309208562186,1.9868633697895604,2.0266005992889404,23000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,12-02-1999,1.9868632555007935,2.0530919675234713,1.9868632555007935,1.9868632555007935,86500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,15-02-1999,1.9868632555007935,1.9868632555007935,1.9868632555007935,1.9868632555007935,3500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,16-02-1999,2.059714509819419,2.059714509819419,1.9934858083724976,1.9934858083724976,4000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,17-02-1999,2.0001087188720703,2.039845940541975,1.9868629783154352,2.0001087188720703,3000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,18-02-1999,1.9537488994894545,2.0530919675234713,1.9537488994894545,1.9868632555007935,55000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,19-02-1999,2.0199776115121324,2.0199776115121324,1.9206345434781156,1.9868632555007935,47500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,22-02-1999,2.0530921739702706,2.0530921739702706,1.854405860021812,1.9802405834197998,3500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,23-02-1999,1.927257179102669,1.927257179102669,1.8808969284519212,1.9073885679244995,12500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,24-02-1999,1.867651265667378,1.920634388923645,1.8544055243287343,1.920634388923645,21000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,25-02-1999,1.94712619797015,1.9603719415289904,1.8875201940536501,1.88752019405365,12500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,26-02-1999,1.9206343087099458,1.9206343087099458,1.8808969284519212,1.9073885679244995,13500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,01-03-1999,1.887519676680998,1.9007654166091563,1.854405326860602,1.880896806716919,50000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,02-03-1999,1.8808968067169187,1.8808968067169187,1.8808968067169187,1.880896806716919,0,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,03-03-1999,2.0133547571373382,2.3444986358218136,2.0133547571373382,2.32463002204895,102500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,04-03-1999,2.318007159595174,2.318007159595174,2.0663377350463072,2.1987953186035156,284000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,05-03-1999,2.3113842062657013,2.3113842062657013,2.11932078798115,2.1656808853149414,271000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,08-03-1999,2.443841517571256,2.443841517571256,2.185549259185791,2.185549259185791,212000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,09-03-1999,2.3776130081356976,2.384235879437959,2.119320869445801,2.119320869445801,119000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,10-03-1999,1.9471262085505228,2.1193210336528447,1.9471262085505228,2.0862066745758057,19000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,11-03-1999,2.0530919675234713,2.112697966245586,1.9868632555007935,1.9868632555007935,61500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,12-03-1999,1.9868631780172468,2.0199775327371947,1.8544056012357573,1.9140115976333618,69500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,15-03-1999,2.000108836955507,2.000108836955507,1.920634388923645,1.920634388923645,49500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,16-03-1999,1.9338799243312277,2.0001086239720194,1.854405326860602,1.880896806716919,66000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,17-03-1999,1.9802403490996514,1.9802403490996514,1.8676513827606689,1.8742742538452148,13500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,18-03-1999,1.8742742538452148,1.8742742538452148,1.8742742538452148,1.8742742538452148,0,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,19-03-1999,1.8808972071355157,1.887520078509518,1.8345371075174979,1.847782850265503,67000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,22-03-1999,1.9206342634038427,1.9206342634038427,1.8411596626642164,1.854405403137207,61500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,23-03-1999,1.9073887671696463,1.9073887671696463,1.8212912851688476,1.8742742538452148,45000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,24-03-1999,1.8544054031372073,1.867651143610198,1.8146681817182349,1.854405403137207,51500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,25-03-1999,1.8544054031372073,1.8544054031372073,1.8544054031372073,1.854405403137207,0,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,26-03-1999,1.7881768537262595,1.8279140785442063,1.7219479877946526,1.7351937294006348,53000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,29-03-1999,1.735193729400635,1.735193729400635,1.735193729400635,1.7351937294006348,0,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,30-03-1999,1.8212910454698914,1.8345367858957196,1.7219478343744974,1.7749309539794922,23000,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,31-03-1999,1.8544054031372073,1.8941426245561794,1.8544054031372073,1.854405403137207,7500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,01-04-1999,1.7550626510294676,1.8544057216395056,1.7550626510294676,1.847782850265503,4500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,02-04-1999,1.847782850265503,1.847782850265503,1.847782850265503,1.847782850265503,0,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,05-04-1999,1.8477831521193189,1.8544060245752336,1.7285712900111172,1.7550629377365112,9500,0.0,0.0
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500,06-04-1999,1.814668795852106,1.814668795852106,1.7285712957382202,1.7285712957382202,11500,0.0,0.0
