Symbol,Company,Industry,Index,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,01-07-2002,36.98248033539058,38.08634890346477,36.98248033539058,37.95342254638672,509315,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,02-07-2002,38.72208241437544,38.94748026093962,38.086346583668494,38.72786331176758,1062700,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,03-07-2002,38.14414088469349,38.89546607979596,38.14414088469349,38.779876708984375,618898,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,04-07-2002,40.22473350312448,40.22473350312448,38.17304340180126,38.73942565917969,747626,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,05-07-2002,37.566212802294785,39.04574297497544,37.566212802294785,38.27708053588867,671490,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,08-07-2002,38.17304452934209,39.06885226593779,38.17304452934209,38.96482467651367,437288,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,09-07-2002,38.722077224761215,40.4443443484816,38.722077224761215,39.25956344604492,1015268,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,10-07-2002,39.18443556414642,39.98199362790118,38.85500729524911,39.860626220703125,660997,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,11-07-2002,39.53120607791017,39.64679260333931,39.07463230137761,39.32892608642578,454022,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,12-07-2002,39.87796565066851,39.87796565066851,39.30580257317117,39.53120040893555,570558,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,15-07-2002,39.31158447265625,39.53120429045599,38.43889467189983,39.31158447265625,480949,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,16-07-2002,39.85242957609124,40.39097496214652,39.26601296306808,39.678897857666016,696298,1.792871,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,17-07-2002,38.954847480545965,39.912263009565024,38.89500845523234,39.822505950927734,324795,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,18-07-2002,39.86439730208375,40.43884610720134,39.31986653442715,39.762672424316406,119044,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,19-07-2002,39.61306814961191,40.33113048724422,38.5419600246212,39.48740768432617,161500,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,22-07-2002,38.787305637004124,39.49340035358152,38.057278264384706,38.24876022338867,245691,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,23-07-2002,37.650371258428066,39.134364399100235,37.59053222883111,39.02665710449219,713187,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,24-07-2002,38.087190313847415,39.46945853190729,38.05727227949968,38.27268981933594,197578,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,25-07-2002,38.65565545900371,39.23010418685689,38.356463289969085,38.930912017822266,586255,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,26-07-2002,38.08719520962101,38.7753367160708,37.45888977955809,37.782020568847656,395850,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,29-07-2002,38.29662832410189,38.29662832410189,36.082604855079325,37.71619415283203,1892748,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,30-07-2002,37.33921710782126,38.17097235274572,37.21953902989438,37.50676345825195,737645,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,31-07-2002,35.962930537815154,37.37512000271625,35.962930537815154,37.153717041015625,239593,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,01-08-2002,37.09985363718762,37.8179130299078,36.333920067886744,37.093868255615234,375442,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,02-08-2002,36.262123113272914,38.26671167785917,36.262123113272914,37.674312591552734,459880,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,05-08-2002,37.291340929509026,37.698243381813015,36.992148733050186,37.20158386230469,228433,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,06-08-2002,37.554626517099614,37.554626517099614,36.97419536213017,37.0699348449707,130658,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,07-08-2002,37.33921014080309,37.45888523773319,36.98017893268002,37.13575744628906,533456,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,08-08-2002,37.21952860871703,37.33920665313499,36.86049743412925,36.938289642333984,658975,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,09-08-2002,36.52539758064399,36.98017113737946,36.50146493323601,36.902381896972656,777074,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,12-08-2002,36.62114276024223,37.087884155131285,36.56130374055568,36.99214172363281,86284,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,13-08-2002,36.2082675833543,37.458890113110805,36.2082675833543,37.20756912231445,92493,0.0,0.0
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY500,14-08-2002,36.274085823814424,37.33921168672237,36.274085823814424,37.24346923828125,259716,0.0,0.0
