Symbol,Company,Industry,Index,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,03-10-2017,721.6107937555138,726.519710719837,688.9174187577818,694.6608276367188,35367877,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,04-10-2017,697.2134396419218,697.8024856569773,686.2665317963097,690.8318481445312,3613280,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,05-10-2017,691.7154160650795,691.7154160650795,673.6015020897626,681.8975830078125,2680742,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,06-10-2017,681.2595583308672,689.211980287944,676.4487954677969,684.0576171875,1416485,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,09-10-2017,681.4558720099664,689.7028769996406,681.4558720099664,685.9230346679688,951473,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,10-10-2017,685.6284464286268,688.4265652073175,682.8794647609443,687.2484130859375,555002,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,11-10-2017,687.2483859169897,690.1937361423483,673.5034181986499,677.3323974609375,1077409,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,12-10-2017,678.5105131018795,681.3577090542817,672.5216580723097,675.1724853515625,439314,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,13-10-2017,676.3996488179646,682.3885032646156,667.6126758787243,677.135986328125,1344510,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,16-10-2017,673.5034472431619,676.8906121330548,656.8131285797016,657.89306640625,971834,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,17-10-2017,658.2857101466177,661.7219517357499,656.8130351798468,660.7892456054688,664335,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,18-10-2017,658.7766117015458,660.5928868852037,652.051419888219,656.2239990234375,415712,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,19-10-2017,653.9659506521295,665.8946438777966,653.9659506521295,662.802001953125,93358,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,23-10-2017,657.7948890526964,661.5256540507224,652.8859719702135,653.67138671875,292330,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,24-10-2017,651.7078149803671,659.2184820293548,650.9224002377424,653.720458984375,350373,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,25-10-2017,654.8495205109642,661.1820353551385,646.1116243789031,657.6967163085938,583868,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,26-10-2017,657.696696658501,657.696696658501,648.4679091076337,654.7022094726562,242175,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,27-10-2017,651.1188073929227,653.9168663049531,646.9953048462669,650.1370239257812,396395,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,30-10-2017,652.8859490547471,652.8859490547471,638.061043955306,643.068115234375,1164020,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,31-10-2017,643.8535339635397,656.8130866717687,643.8535339635397,650.0387573242188,1402840,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,01-11-2017,651.9041801324313,652.7386720563518,630.5503910994789,635.262939453125,859011,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,02-11-2017,635.2629162632552,641.693585338828,629.5195075299247,631.041259765625,574130,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,03-11-2017,631.3357686960903,641.5954166470265,629.4212791866229,630.5503540039062,672547,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,06-11-2017,630.943073038518,647.8788352674819,630.943073038518,644.7861938476562,483071,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,07-11-2017,646.9952775786084,646.9952775786084,627.8995779628337,630.6485595703125,763293,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,08-11-2017,637.1774778911831,637.1774778911831,617.5418083105611,620.0944213867188,843603,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,09-11-2017,621.4688493433074,658.1875699404939,621.4688493433074,645.96435546875,356798,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,10-11-2017,643.1662005972987,666.8272135197626,643.1662005972987,664.2254638671875,784443,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,13-11-2017,652.8858642578125,668.3980276946174,650.9222977487665,652.8858642578125,192279,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,14-11-2017,643.2644418053272,655.5858104590213,642.086289839311,647.9769897460938,350594,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,15-11-2017,638.2573336082603,648.0260899520912,632.6612164366219,637.52099609375,269314,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,16-11-2017,636.7846688385614,647.1916084986223,631.0903372859325,638.06103515625,261879,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,17-11-2017,641.1046085499933,651.6097037069135,633.3484951357315,647.5352783203125,3200674,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,20-11-2017,645.3262097311577,652.8859538125956,644.5407950044647,649.400634765625,712433,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,21-11-2017,647.9770945703527,683.7140370887075,647.9770945703527,674.9270629882812,2077453,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,22-11-2017,676.4487682460461,686.2175251422426,668.7417924610404,680.523193359375,669175,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,23-11-2017,676.4487253838377,676.4487253838377,651.9041417342064,654.1622314453125,827451,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,24-11-2017,655.8312946238705,658.2366758777351,643.0681107464599,643.75537109375,599114,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,27-11-2017,643.6080843702141,650.627859523941,639.9754738705464,641.7918090820312,239417,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,28-11-2017,641.1046331889456,654.800525162866,640.1228496771708,641.5464477539062,269211,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,29-11-2017,642.1353577482099,646.4061510729366,638.9445620114438,644.2462158203125,258606,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,30-11-2017,653.8186031909747,653.8186031909747,641.9389892602767,642.9699096679688,316178,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,01-12-2017,646.0135647116869,646.0135647116869,640.3683093969571,643.9518432617188,86648,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,04-12-2017,647.9770085385578,653.671339962267,641.1536022973175,649.6951293945312,162592,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,05-12-2017,647.977135012808,650.0879935886138,641.6446192087024,647.093505859375,125688,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,06-12-2017,642.1353664389048,647.976989159166,642.1353664389048,644.1480102539062,210799,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,07-12-2017,643.1662328498796,657.794828375612,639.1409451828708,656.2239990234375,279051,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,08-12-2017,651.9532876878034,677.3324258126073,651.9532876878034,673.2089233398438,480717,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,11-12-2017,667.6126755569193,670.3125797595392,658.8257026219145,662.4583129882812,122163,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,12-12-2017,658.8256418264203,669.5761804621951,658.7765646482887,663.7345581054688,121938,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,13-12-2017,658.8257068492705,669.5762465460707,645.0316627283994,663.04736328125,260250,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,14-12-2017,662.8018577250014,670.5579694818844,661.0346598340126,667.5144653320312,444539,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,15-12-2017,668.1036322473268,678.4123583878072,665.6491736424506,676.4487915039062,351667,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,18-12-2017,669.0362878182312,681.3576570966296,652.8859394369722,679.5413818359375,259324,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,19-12-2017,675.5651151611652,687.1502069041078,675.5651151611652,684.5975341796875,343970,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,20-12-2017,679.5414004107585,690.9300638166027,679.5414004107585,684.4503173828125,531872,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,21-12-2017,680.6704655323887,691.5682979676067,680.6704655323887,689.015625,259491,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,22-12-2017,681.3577487861138,691.0774294023863,681.3577487861138,690.0465087890625,390144,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,26-12-2017,689.9482800124523,694.906274166622,684.4993941613689,688.9174194335938,272983,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,27-12-2017,687.2483710379759,689.21193781237,682.437608471389,687.690185546875,163978,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,28-12-2017,684.3030445616884,690.1937450887617,677.9705295104235,686.16845703125,269410,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,29-12-2017,682.7812587248728,692.5500152707024,680.375877476407,682.6830444335938,667407,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,01-01-2018,681.3576984746359,690.1937493194079,681.3576984746359,686.7575073242188,174646,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,02-01-2018,686.7575175430422,687.3957007495383,667.7108948026906,672.6198120117188,342012,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,03-01-2018,672.5707767133066,682.3395345523511,667.858227883794,677.9215087890625,125483,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,04-01-2018,681.9467300233226,689.4083198649295,677.4305503238186,688.8192138671875,411800,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,05-01-2018,687.2482913938909,692.0590534029664,686.266508120471,689.1627807617188,195946,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,08-01-2018,679.3941224919158,694.0227193299218,679.3941224919158,691.3228149414062,310252,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,09-01-2018,687.395670909641,706.83497022887,687.395670909641,704.1841430664062,605429,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,10-01-2018,701.8278812004306,701.9751726884992,693.2372759402567,698.6370849609375,297500,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,11-01-2018,694.1207834423534,701.6805267318304,686.2665171516337,690.9790649414062,113144,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,12-01-2018,690.9791356575342,696.084421253646,687.248370772288,688.9664916992188,93456,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,15-01-2018,688.720981029754,711.4001511613437,688.720981029754,703.6931762695312,764541,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,16-01-2018,702.9568661657519,702.9568661657519,683.3211995130773,688.0828247070312,338329,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,17-01-2018,683.3212139423076,701.7787290009168,679.0504803244884,692.4027099609375,232397,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,18-01-2018,693.728158915395,699.0298134926675,687.3465665169367,694.9063110351562,323715,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,19-01-2018,692.2063645678543,700.9442606757716,688.6719683462824,698.5388793945312,293534,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,22-01-2018,691.273667953336,703.9386977823395,689.0646553033914,701.6315307617188,464739,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,23-01-2018,697.0661859797083,708.8475863061259,697.0661859797083,703.8405151367188,399677,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,24-01-2018,698.2442754181708,701.28777959374,685.2847242359269,689.8009033203125,200051,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,25-01-2018,689.7027861670109,694.1208111317818,649.1060696267134,669.6253051757812,424803,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,29-01-2018,669.5763075989377,676.8906062281912,667.6127407144833,669.4290161132812,143914,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,30-01-2018,669.2817531798896,669.2817531798896,651.2169147203349,655.733154296875,339031,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,31-01-2018,657.7948852975169,669.0853945227728,641.8409048705249,648.615234375,324432,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,01-02-2018,652.8859125746113,708.8475622238636,648.4678876023019,695.7898559570312,1539000,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,02-02-2018,695.495406837689,719.8927011409232,678.510505534247,705.2150268554688,1772440,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,05-02-2018,703.3987388301807,703.3987388301807,677.4305555494574,682.3885498046875,352909,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,06-02-2018,657.7948105588143,692.1572260357673,652.8858940621067,682.5848388671875,399206,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,07-02-2018,687.2974846247107,701.9751590253566,687.2974846247107,700.6988525390625,315230,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,08-02-2018,704.0368799434154,706.8840758850525,698.0971021237647,701.9751586914062,159852,0.0,0.0
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,NIFTY500,09-02-2018,687.2483385352355,704.5768384690508,686.2665551944708,696.968017578125,159318,0.0,0.0
